,Station,Species,DateTimeOriginal,Date,Time,delta.time.secs,delta.time.mins,delta.time.hours,delta.time.days,Directory,FileName,EXIF.Model,EXIF.Make,metadata_Species,metadata_Number,metadata_Behaviour,metadata_Sex,n_images,metadata_young_present,metadata_Numberofindividuals,HierarchicalSubject
50,B09,springbok,2018-07-14 22:10,2018-07-14,14:20:37,506496,8441.6,140.7,5.9,E:/MOK/MOK_Roll1/B09,I__00053.JPG,E3,CUDDEBACK,springbok,1,Moving,NA,1,NA,NA,"Behaviour, Number|1, Behaviour|Moving, Species|springbok, Species, Number"
51,D06,hartebeestred,2018-07-23 4:37,2018-07-23,4:55:12,714414,11906.9,198.4,8.3,E:/MOK/MOK_Roll1/D06,I__00063.JPG,E3,CUDDEBACK,hartebeestred,1,Moving,NA,1,NA,NA,"Species, Behaviour, Species|hartebeestred, Behaviour|Moving, Number|1, Number"
52,G04,springbok,2018-07-25 0:12,2018-07-25,17:03:09,156903,2615.1,43.6,1.8,E:/MOK/MOK_Roll1/G04,I__00070.JPG,E3,CUDDEBACK,springbok,1,Resting,NA,1,NA,NA,"Behaviour|Resting, Number|1, Behaviour, Species, Species|springbok, Number"
53,E01,springbok,2018-07-25 0:25,2018-07-25,18:29:29,765,12.8,0.2,0,E:/MOK/MOK_Roll1/E01,I__00072.JPG,E3,CUDDEBACK,springbok,1,Eating,NA,1,NA,NA,"Species, Behaviour, Number|1, Number, Behaviour|Eating, Species|springbok"
54,G03,zebraburchells,2018-07-27 1:43,2018-07-27,15:18:46,177490,2958.2,49.3,2.1,E:/MOK/MOK_Roll1/G03,I__00076.JPG,E3,CUDDEBACK,zebraburchells,1,Moving,NA,1,NA,NA,"Behaviour, Number|1, Behaviour|Moving, Species, Number, Species|zebraburchells"
55,E06,warthog,2018-08-03 21:25,2018-08-03,16:35:30,675722,11262,187.7,7.8,E:/MOK/MOK_Roll1/E06,I__00087.JPG,E3,CUDDEBACK,warthog,1,Moving,NA,1,NA,NA,"Number, Behaviour|Moving, Species, Number|1, Species|warthog, Behaviour"
56,E06,giraffe,2018-08-20 2:04,2018-08-20,13:40:31,1399160,23319.3,388.7,16.2,E:/MOK/MOK_Roll1/E06,I__00136.JPG,E3,CUDDEBACK,giraffe,1,Moving,NA,1,NA,NA,"Species, Species|giraffe, Number|1, Number, Behaviour, Behaviour|Moving"
57,G03,springbok,2018-08-23 3:02,2018-08-23,15:34:41,262630,4377.2,73,3,E:/MOK/MOK_Roll1/G03,I__00144.JPG,E3,CUDDEBACK,springbok,1,Moving,NA,1,NA,NA,"Number|1, Behaviour, Number, Species, Behaviour|Moving, Species|springbok"
58,F03,hartebeestred,2018-08-25 2:37,2018-08-25,13:03:58,171317,2855.3,47.6,2,E:/MOK/MOK_Roll1/F03,I__00150.JPG,E3,CUDDEBACK,hartebeestred,1,Moving,NA,1,NA,NA,"Number|1, Behaviour, Number, Species, Behaviour|Moving, Species|hartebeestred"
59,B09,gemsbokoryx,2018-09-02 1:29,2018-09-02,13:51:06,687143,11452.4,190.9,8,E:/MOK/MOK_Roll1/B09,I__00173.JPG,E3,CUDDEBACK,gemsbokoryx,1,Eating,NA,1,NA,NA,"Species|gemsbokoryx, Number, Number|1, Behaviour, Behaviour|Eating, Species"
60,D05,hartebeestred,2018-07-19 16:56,2018-07-19,22:24:33,0,0,0,0,E:/MOK/MOK_Roll1/D05,I_00059a.JPG,E3,CUDDEBACK,hartebeestred,1,Moving,NA,1,NA,NA,"Number, Number|1, Behaviour, Species|hartebeestred, Behaviour|Moving, Species"
61,F03,tsessebe,2018-07-25 8:16,2018-07-25,18:46:18,487239,8120.6,135.3,5.6,E:/MOK/MOK_Roll1/F03,I_00073a.JPG,E3,CUDDEBACK,tsessebe,1,Moving,NA,1,NA,NA,"Species|tsessebe, Species, Number, Number|1, Behaviour|Moving, Behaviour"
62,C06,unknown,2018-08-19 7:06,2018-08-19,11:41:30,2155750,35929.2,598.8,25,E:/MOK/MOK_Roll1/C06,I_00127a.JPG,E3,CUDDEBACK,unknown,1,Moving,NA,1,NA,NA,"Species, Behaviour, Species|unknown, Behaviour|Moving, Number|1, Number"
63,C06,wildebeestblue,2018-08-19 7:14,2018-08-19,10:37:37,505,8.4,0.1,0,E:/MOK/MOK_Roll1/C06,I_00128a.JPG,E3,CUDDEBACK,wildebeestblue,1,Eating,NA,1,NA,NA,"Behaviour, Number|1, Species|wildebeestblue, Species, Number, Behaviour|Eating"
64,B07,gemsbokoryx,2018-08-19 7:16,2018-08-19,9:11:55,140,2.3,0,0,E:/MOK/MOK_Roll1/B07,I_00129a.JPG,E3,CUDDEBACK,gemsbokoryx,1,Eating,NA,1,NA,NA,"Behaviour|Eating, Number, Species, Number|1, Species|gemsbokoryx, Behaviour"
65,B09,springbok,2018-08-19 7:18,2018-08-19,17:06:23,129,2.1,0,0,E:/MOK/MOK_Roll1/B09,I_00130a.JPG,E3,CUDDEBACK,springbok,1,Moving,NA,1,NA,NA,"Behaviour, Number|1, Behaviour|Moving, Species|springbok, Species, Number"
66,G04,gemsbokoryx,2018-08-19 7:24,2018-08-19,0:34:57,306,5.1,0.1,0,E:/MOK/MOK_Roll1/G04,I_00131a.JPG,E3,CUDDEBACK,gemsbokoryx,1,Moving,NA,1,NA,NA,"Behaviour|Moving, Species, Behaviour, Number, Number|1, Species|gemsbokoryx"
67,C05,gemsbokoryx,2018-08-19 7:25,2018-08-19,6:11:19,60,1,0,0,E:/MOK/MOK_Roll1/C05,I_00132a.JPG,E3,CUDDEBACK,gemsbokoryx,2,Eating,NA,1,NA,NA,"Species, Behaviour, Number|2, Species|gemsbokoryx, Number, Behaviour|Eating"
68,C06,springbok,2018-08-19 16:02,2018-08-19,7:44:26,31065,517.8,8.6,0.4,E:/MOK/MOK_Roll1/C06,I_00133a.JPG,E3,CUDDEBACK,springbok,1,Moving,NA,1,NA,NA,"Behaviour|Moving, Species, Behaviour, Number, Number|1, Species|springbok"
69,F02,hartebeestred,2018-08-19 16:05,2018-08-19,16:16:38,192,3.2,0.1,0,E:/MOK/MOK_Roll1/F02,I_00134a.JPG,E3,CUDDEBACK,hartebeestred,2,Moving,NA,1,NA,NA,"Behaviour, Number, Species, Behaviour|Moving, Number|2, Species|hartebeestred"
70,E06,kudu,2018-08-23 10:46,2018-08-23,2:06:32,0,0,0,0,E:/MOK/MOK_Roll1/E06,I_00145a.JPG,E3,CUDDEBACK,kudu,1,Eating,Male,1,NA,NA,"Species|kudu, Species, Behaviour, Sex|Male, Number|1, Number, Behaviour|Eating, Sex"
71,C05,warthog,2018-08-23 10:47,2018-08-23,0:15:11,61,1,0,0,E:/MOK/MOK_Roll1/C05,I_00146a.JPG,E3,CUDDEBACK,warthog,1,Moving,NA,1,NA,NA,"Number, Behaviour|Moving, Species, Number|1, Species|warthog, Behaviour"
72,G03,antelopeunknown,2018-08-23 10:48,2018-08-23,21:39:28,60,1,0,0,E:/MOK/MOK_Roll1/G03,I_00147a.JPG,E3,CUDDEBACK,antelopeunknown,1,Moving,NA,1,NA,NA,"Species, Number|1, Number, Behaviour, Species|antelopeunknown, Behaviour|Moving"
73,G04,zebraburchells,2018-08-23 10:50,2018-08-23,23:12:27,74,1.2,0,0,E:/MOK/MOK_Roll1/G04,I_00148a.JPG,E3,CUDDEBACK,zebraburchells,1,Moving,NA,1,NA,NA,"Behaviour, Number|1, Behaviour|Moving, Species, Number, Species|zebraburchells"
74,F04,springbok,2018-06-27 18:37,2018-06-27,15:46:25,0,0,0,0,E:/MOK/MOK_Roll1/F04,I__00008.JPG,E3,CUDDEBACK,springbok,2,Eating,NA,1,NA,NA,"Behaviour|Eating, Number, Species, Behaviour, Number|2, Species|springbok"
75,G04,kudu,2018-07-02 15:37,2018-07-02,16:18:58,421188,7019.8,117,4.9,E:/MOK/MOK_Roll1/G04,I_00023a.JPG,E3,CUDDEBACK,kudu,2,Standing_&_Resting,Female,1,NA,NA,"Number, Behaviour|Standing, Behaviour|Resting, Number|2, Behaviour, Sex, Sex|Female, Species, Species|kudu"
76,E01,zebraburchells,2018-07-02 15:38,2018-07-02,20:40:13,60,1,0,0,E:/MOK/MOK_Roll1/E01,I_00024a.JPG,E3,CUDDEBACK,zebraburchells,8,Moving,NA,1,NA,NA,"Behaviour|Moving, young_present|Yes, Behaviour, Number, Species|zebraburchells, Number|8, Species, young_present"
77,C05,giraffe,2018-07-08 16:48,2018-07-08,15:29:59,522635,8710.6,145.2,6,E:/MOK/MOK_Roll1/C05,I_00037a.JPG,E3,CUDDEBACK,giraffe,1,Moving,NA,1,NA,NA,"Number|1, Behaviour|Moving, Behaviour, Species, Species|giraffe, Number"
78,G04,springbok,2018-07-10 6:21,2018-07-10,10:25:28,135179,2253,37.5,1.6,E:/MOK/MOK_Roll1/G04,I__00042.JPG,E3,CUDDEBACK,springbok,1,Moving,NA,1,NA,NA,"Species, Behaviour, Species|springbok, Number, Number|1, Behaviour|Moving"
79,E06,springbok,2018-07-10 6:23,2018-07-10,1:58:09,71,1.2,0,0,E:/MOK/MOK_Roll1/E06,I__00043.JPG,E3,CUDDEBACK,springbok,1,Moving,NA,1,NA,NA,"Number|1, Behaviour, Number, Species, Behaviour|Moving, Species|springbok"
80,G03,springbok,2018-07-23 11:00,2018-07-23,7:27:11,1139840,18997.3,316.6,13.2,E:/MOK/MOK_Roll1/G03,I_00064a.JPG,E3,CUDDEBACK,springbok,3,Resting_&_Moving,NA,1,NA,NA,"Behaviour|Resting, Number|3, Behaviour, Number, Species, Behaviour|Moving, Species|springbok"
81,D05,wildebeestblue,2018-07-29 9:35,2018-07-29,16:35:04,513302,8555,142.6,5.9,E:/MOK/MOK_Roll1/D05,I_00081a.JPG,E3,CUDDEBACK,wildebeestblue,1,Moving,NA,1,NA,NA,"Species|wildebeestblue, Behaviour|Moving, Number|1, Behaviour, Number, Species"
82,C07,unknown,2018-07-29 10:33,2018-07-29,6:01:01,3483,58,1,0,E:/MOK/MOK_Roll1/C07,I_00082a.JPG,E3,CUDDEBACK,unknown,NA,NA,NA,1,NA,NA,"Species, Species|unknown"
83,G03,springbok,2018-07-31 9:37,2018-07-31,15:03:03,169427,2823.8,47.1,2,E:/MOK/MOK_Roll1/G03,I_00083a.JPG,E3,CUDDEBACK,springbok,1,Moving,NA,1,NA,NA,"Species, Behaviour, Species|springbok, Number, Number|1, Behaviour|Moving"
84,E02,impala,2018-08-08 18:07,2018-08-08,5:30:23,721836,12030.6,200.5,8.4,E:/MOK/MOK_Roll1/E02,I__00097.JPG,E3,CUDDEBACK,impala,1,NA,NA,1,NA,NA,"Species|impala, Species, Number|1, Number"
85,E06,wildebeestblue,2018-08-10 1:24,2018-08-10,3:53:44,112567,1876.1,31.3,1.3,E:/MOK/MOK_Roll1/E06,I__00099.JPG,E3,CUDDEBACK,wildebeestblue,1,Eating,NA,1,NA,NA,"Species, Species|wildebeestblue, Behaviour|Eating, Number|1, Number, Behaviour"
86,G03,springbok,2018-08-12 22:19,2018-08-12,6:46:00,248103,4135,68.9,2.9,E:/MOK/MOK_Roll1/G03,I__00102.JPG,E3,CUDDEBACK,springbok,2,Moving,NA,1,NA,NA,"Behaviour, Species|springbok, Number|2, Number, Species, Behaviour|Moving"
87,C05,unknown,2018-08-14 18:23,2018-08-14,20:46:17,158662,2644.4,44.1,1.8,E:/MOK/MOK_Roll1/C05,I__00113.JPG,E3,CUDDEBACK,unknown,NA,NA,NA,1,NA,NA,"Species, Species|unknown"
88,C05,springbok,2018-08-25 11:43,2018-08-25,12:43:55,926399,15440,257.3,10.7,E:/MOK/MOK_Roll1/C05,I_00151a.JPG,E3,CUDDEBACK,springbok,1,Standing,NA,1,NA,NA,"Behaviour|Standing, Species, Behaviour, Number, Species|springbok, Number|1"
89,E06,impala,2018-08-29 1:39,2018-08-29,7:21:54,309348,5155.8,85.9,3.6,E:/MOK/MOK_Roll1/E06,I__00166.JPG,E3,CUDDEBACK,impala,4,Moving,Female,1,NA,NA,"Number, Number|4, Sex, Behaviour|Moving, Behaviour, Sex|Female, Species|impala, Species"
90,C06,eland,2018-09-03 8:38,2018-09-03,18:16:50,457167,7619.4,127,5.3,E:/MOK/MOK_Roll1/C06,I_00184b.JPG,E3,CUDDEBACK,eland,1,Moving,NA,1,NA,NA,"Number, Species|eland, Behaviour|Moving, Species, Number|1, Behaviour"
91,C05,tsessebe,2018-08-17 8:44,2018-08-17,17:39:09,0,0,0,0,E:/MOK/MOK_Roll1/C05,I_00120a.JPG,E3,CUDDEBACK,tsessebe,2,Eating,NA,1,NA,NA,"Species|tsessebe, Species, Number, Number|2, Behaviour|Eating, Behaviour"
92,G03,tsessebe,2018-08-17 8:45,2018-08-17,21:21:52,81,1.4,0,0,E:/MOK/MOK_Roll1/G03,I_00121a.JPG,E3,CUDDEBACK,tsessebe,1,Moving,NA,1,NA,NA,"Species|tsessebe, Behaviour|Moving, Number|1, Behaviour, Number, Species"
93,C06,giraffe,2018-08-26 2:06,2018-08-26,6:06:27,753639,12560.6,209.3,8.7,E:/MOK/MOK_Roll1/C06,I__00152.JPG,E3,CUDDEBACK,giraffe,1,Standing,NA,1,NA,NA,"Number, Number|1, Behaviour, Species, Species|giraffe, Behaviour|Standing"
94,A09,springbok,2018-08-26 2:08,2018-08-26,10:45:55,112,1.9,0,0,E:/MOK/MOK_Roll1/A09,I__00153.JPG,E3,CUDDEBACK,springbok,1,Moving,NA,1,NA,NA,"Behaviour|Moving, Species, Behaviour, Number, Species|springbok, Number|1"
95,F02,springbok,2018-06-26 4:19,2018-06-26,19:33:03,0,0,0,0,E:/MOK/MOK_Roll1/F02,I__00004.JPG,E3,CUDDEBACK,springbok,1,Eating,NA,1,NA,NA,"Number|1, Behaviour, Number, Species, Behaviour|Eating, Species|springbok"
96,B09,springbok,2018-06-28 0:42,2018-06-28,15:56:37,159730,2662.2,44.4,1.8,E:/MOK/MOK_Roll1/B09,I__00014.JPG,E3,CUDDEBACK,springbok,1,Moving,NA,1,NA,NA,"Behaviour|Moving, Species|springbok, Number|1, Species, Behaviour, Number"
97,E06,warthog,2018-06-28 11:04,2018-06-28,8:28:36,37349,622.5,10.4,0.4,E:/MOK/MOK_Roll1/E06,I_00016a.JPG,E3,CUDDEBACK,warthog,1,Eating,NA,1,NA,NA,"Behaviour|Eating, Number, Species, Number|1, Species|warthog, Behaviour"
98,D04,springbok,2018-06-28 19:30,2018-06-28,15:33:28,30380,506.3,8.4,0.4,E:/MOK/MOK_Roll1/D04,I__00017.JPG,E3,CUDDEBACK,springbok,1,Moving,NA,1,NA,NA,"Species, Behaviour, Species|springbok, Number, Number|1, Behaviour|Moving"
99,G03,springbok,2018-07-02 3:58,2018-07-02,23:05:43,289652,4827.5,80.5,3.4,E:/MOK/MOK_Roll1/G03,I__00022.JPG,E3,CUDDEBACK,springbok,1,Eating,NA,1,NA,NA,"Species, Behaviour, Behaviour|Eating, Species|springbok, Number, Number|1"
100,F02,eland,2018-07-19 16:55,2018-07-19,11:45:46,1515410,25256.8,420.9,17.5,E:/MOK/MOK_Roll1/F02,I_00058b.JPG,E3,CUDDEBACK,eland,1,Standing,NA,1,NA,NA,"Number, Number|1, Behaviour, Behaviour|Standing, Species|eland, Species"
